Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,75.0416,70.7842,75.1807
Cc1ccc(O)c(N)c1,25.5997,12.4367,18.9101
CNC.Cl,0.2047,0.0457,0.2859
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],56.8782,45.1878,36.4792
Nc1cccc(O)c1,36.175,41.2047,14.7308
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,12.0224,11.6964,8.8686
Cc1ccccc1N=C(N)Nc1ccccc1C,9.8349,15.6851,3.0611
Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,56.7032,49.8776,59.9368
Cc1coc2c1CCC(C)C2,12.912,13.6882,9.2299
O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,32.2858,29.8292,61.7019
Cl.Cl.Nc1cccc(N)c1,25.2218,15.7721,33.2128
COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-],1.9236,3.2323,3.8261
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,41.0924,33.5717,27.6467
CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C,79.7882,68.7563,71.9657
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,55.617,59.7213,45.1971
CC(=O)Nc1ccc(N)cc1,0.4365,0.3283,4.651
COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,61.2747,41.2303,51.4057
